"participantID","videoID","order","condition","comprehensionCheckQ1Correct","comprehensionCheckQ2Correct","accuracy","IRI_EC","IRI_PT","IRI_PD","LT_Empathy","SPS","SIAS","gender","age"
"8cd581f0","178_6",1,"both",TRUE,TRUE,0.821847432118874,28,22,14,12,29,40,"F",59
"e8690a63","181_2",1,"both",TRUE,TRUE,0.618631943547395,20,28,28,8,72,50,"F",31
"a2a60b08","173_4",1,"both",TRUE,TRUE,0.692269703094582,19,15,19,12,8,36,"M",67
"69677df3","170_2",1,"both",TRUE,TRUE,0.617796243170607,8,7,11,13,31,50,"M",32
"0be6f6ad","174_2",1,"both",TRUE,TRUE,0.362101464800925,27,27,9,12,28,34,"F",29
"4ddacf07","124_3",1,"both",TRUE,TRUE,0.332439227720202,15,12,2,11,4,5,"M",32
"24c11a53","124_3",1,"both",TRUE,TRUE,0.650646399063138,16,28,8,12,13,29,"M",51
"7bbe3dac","151_2",1,"both",TRUE,TRUE,0.681583608670418,23,23,13,9,46,48,"M",33
"3ebd7027","174_3",1,"both",TRUE,TRUE,-0.00861672926050967,17,20,7,11,30,43,"M",32
"13ec5e6f","181_4",1,"both",TRUE,TRUE,0.881599806715358,21,22,7,12,19,35,"M",34
"43fe99d7","129_2",1,"both",TRUE,TRUE,0.395734393139813,20,14,5,11,18,26,"M",3
"36a9890b","174_2",1,"both",TRUE,TRUE,0.310383422085423,15,13,24,11,40,47,"M",36
"dbff13c1","116_5",1,"both",TRUE,TRUE,0.00707340064938403,25,27,9,13,12,20,"F",25
"277b108b","161_3",1,"both",TRUE,TRUE,0.916914931875048,23,18,3,12,7,13,"M",42
"70c5f106","137_6",1,"both",TRUE,TRUE,0.392882260575252,26,28,7,17,32,40,"M",29
"889b1c97","167_2",1,"both",TRUE,TRUE,0.932792503293491,27,25,6,12,1,4,"F",29
"3ed9cc50","121_5",1,"both",TRUE,TRUE,0.236174076837061,25,24,14,12,33,46,"M",37
"610af9cb","174_2",1,"both",TRUE,TRUE,0.821904117159794,28,25,6,11,15,34,"F",37
"b6941e03","181_2",1,"both",FALSE,TRUE,0.945127646453722,19,21,0,12,4,3,"M",49
"3bad909a","167_2",1,"both",TRUE,TRUE,0.909460896106418,12,13,16,13,48,53,"M",30
"866f956f","129_2",1,"both",FALSE,TRUE,0.262040457338536,15,10,6,12,17,23,"M",61
"a8a36cac","129_2",1,"both",TRUE,TRUE,0.196946477757719,5,21,0,13,29,39,"M",37
"b4ed151e","171_1",1,"both",TRUE,FALSE,0.546356508008866,26,20,10,13,48,30,"M",33
"6c56b66c","151_2",1,"both",TRUE,TRUE,0.942006230033779,26,25,0,9,0,6,"M",45
"5f215821","170_2",1,"both",TRUE,TRUE,-0.0636735316118154,24,21,12,11,52,59,"F",41
