"participantID","videoID","order","condition","accuracy","IRI_EC","IRI_PT","IRI_PD","gender","age"
"8e2ee6f3","HID53_vid2",2,"audioOnly",-0.454356950621244,14,14,14,"F",31
"c1cbf830","HID53_vid2",2,"audioOnly",0.2889170380847,13,21,9,"M",29
"1f22fa40","HID53_vid2",2,"audioOnly",-0.185759116410088,17,13,13,"M",26
"d12a1a41","HID119_vid5",2,"audioOnly",-0.397965115885896,16,12,12,"F",24
"1e092585","HID53_vid2",2,"audioOnly",0.590704286915004,0,26,0,"M",29
"455976dc","HID53_vid2",2,"audioOnly",0.00794817978287391,21,19,21,"M",21
"6de00aa4","HID119_vid5",2,NA,NA,17,15,12,"M",38
"a7cf628a","HID53_vid2",2,"audioOnly",0.122940997277664,20,17,9,"M",34
"f23f671b","HID53_vid2",2,NA,NA,26,23,10,"F",39
"4b0cd795","HID53_vid2",2,NA,NA,28,28,28,"F",47
"7a5ac630","HID127_vid4",2,"audioOnly",-0.301811625536236,18,16,0,"M",50
"5358df21","HID53_vid2",2,NA,NA,16,13,16,"F",36
"90d6728c","HID119_vid5",2,"audioOnly",-0.45619691242553,0,12,3,"M",35
"3333d1b3","HID127_vid4",2,"audioOnly",-0.331806600822785,26,23,13,"F",36
"4b17e227","HID53_vid2",2,"audioOnly",-0.0842729807873233,20,24,20,"F",20
"86e12a93","HID127_vid4",2,"audioOnly",0.415016923866536,21,28,8,"M",33
"bbeffde9","HID119_vid5",2,"audioOnly",-0.46937304390526,23,15,6,"M",54
"f2660f29","HID53_vid2",2,"audioOnly",0.435593488646285,20,21,11,"M",26
"d26f78a0","HID127_vid4",2,NA,NA,23,9,20,"F",29
"77576a14","HID53_vid2",2,"audioOnly",0.106948810307133,26,26,6,"F",35
"e8458214","HID127_vid4",2,"audioOnly",0.57874782631944,24,23,0,"M",71
"c5538b48","HID119_vid5",2,"audioOnly",0.445518680937184,28,28,0,"M",32
"7e5590df","HID53_vid2",2,"audioOnly",-0.27791073481319,21,21,17,"M",26
